pid,planId,createdAt,status,decision,mcpCall,op_count,op_kinds,risk_level,risk_score,risk_tags,requires_approval,gates_blocked,gates_evaluated,has_external_endpoint
P04,P04_PLN18,2026-04-23T14:05:49.491Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN19,2026-04-23T14:05:24.524Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN20,2026-04-23T14:05:24.315Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN21,2026-04-23T14:05:24.132Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN22,2026-04-23T14:05:23.843Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN23,2026-04-23T14:05:23.619Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN24,2026-04-23T14:05:23.158Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN25,2026-04-23T14:05:22.776Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN26,2026-04-23T14:05:22.559Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN27,2026-04-23T14:05:22.276Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN28,2026-04-23T14:05:21.969Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN29,2026-04-23T14:05:21.668Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN30,2026-04-23T14:04:48.680Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN31,2026-04-23T14:04:48.508Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN32,2026-04-23T14:04:48.248Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN33,2026-04-23T14:04:48.068Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN34,2026-04-23T14:04:47.799Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN35,2026-04-23T14:04:47.601Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN36,2026-04-23T14:04:47.419Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN37,2026-04-23T14:04:47.084Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN38,2026-04-23T14:04:46.887Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN39,2026-04-23T14:04:46.708Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN40,2026-04-23T14:04:46.518Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN41,2026-04-23T14:03:15.758Z,applied,approved,apply_operations_batch,6,ui.rename_component,medium,75,R_REFERENCE;R_BULK_CHANGE,1,approval,policy;preflight;validation;diff;risk;approval,0
P04,P04_PLN42,2026-04-23T14:03:09.801Z,blocked,blocked,apply_operations_batch,11,ui.rename_component,low,0,,0,preflight,preflight,0
